fda drug,chemical name,indications,url
accolate,Zafirlukast,"Asthma,Chronic urticaria",https://www.uptodate.com/contents/zafirlukast-drug-information?search=accolate&source=search_result&selectedTitle=1%7E36&usage_type=default&display_rank=1
accuretic,Quinapril and hydrochlorothiazide,Hypertension,https://www.uptodate.com/contents/quinapril-and-hydrochlorothiazide-drug-information?search=accuretic&source=search_result&selectedTitle=1%7E1&usage_type=default&display_rank=1
acephen,Acetaminophen,"Pain or fever,daily,Pain,Fever",https://www.uptodate.com/contents/acetaminophen-paracetamol-drug-information?search=acephen&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
acetadote,Acetylcysteine,"Acetaminophen overdose,Adjuvant therapy in respiratory conditions,Diagnostic bronchogram,Mucolytic",https://www.uptodate.com/contents/acetylcysteine-drug-information?search=acetadote&source=search_result&selectedTitle=1%7E128&usage_type=default&display_rank=1
actigall,Ursodeoxycholic acid,"Gallstone dissolution,Gallstone prevention post-bariatric surgery,Gallstone prevention,Primary biliary cirrhosis,Gallstones",https://www.uptodate.com/contents/ursodeoxycholic-acid-ursodiol-drug-information?search=actigall&source=search_result&selectedTitle=1%7E64&usage_type=default&display_rank=1
actiq,Fentanyl,"Surgery,Pain management,Breakthrough cancer pain,Chronic pain management,Injection,,Transdermal patch,Transmucosal lozenge",https://www.uptodate.com/contents/fentanyl-drug-information?search=actiq&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
activella,Estradiol and norethindrone,"Hypoestrogenism,Osteoporosis prevention,Vasomotor symptoms associated with menopause,Vulvar and vaginal atrophy associated with menopause,General dosing guidelines",https://www.uptodate.com/contents/estradiol-and-norethindrone-drug-information?search=activella&source=search_result&selectedTitle=1%7E17&usage_type=default&display_rank=1
actonel,Risedronate,"Osteoporosis,Paget disease of bone,Missed doses,Bone loss associated with androgen deprivation therapy in prostate cancer, prevention,",https://www.uptodate.com/contents/risedronate-drug-information?search=actonel&source=search_result&selectedTitle=1%7E43&usage_type=default&display_rank=1
actoplus-met,Pioglitazone and metformin,"Diabetes mellitus, type 2,Dosage adjustment for hypoglycemia with combination therapy,Dosage adjustment with strong CYP2C8 inhibitors",https://www.uptodate.com/contents/pioglitazone-and-metformin-drug-information?search=actoplus-met&source=search_result&selectedTitle=1%7E14&usage_type=default&display_rank=1
actos,Pioglitazone,"Initial,Dosage titration,Dosage adjustment for hypoglycemia with combination therapy,Dosage adjustment with strong CYP2C8 inhibitors,Diabetes mellitus, type 2",https://www.uptodate.com/contents/pioglitazone-drug-information?search=actos&source=search_result&selectedTitle=1%7E72&usage_type=default&display_rank=1
acular ls,Ketorolac,"Pain management,Dosage adjustment for low body weight",https://www.uptodate.com/contents/ketorolac-systemic-drug-information?search=acular+ls&source=search_result&selectedTitle=1%7E86&usage_type=default&display_rank=1
adalat cc,Nifedipine,"Chronic stable or vasospastic angina,Achalasia,Hypertension,Hypertension emergency in pregnancy,High altitude pulmonary edema,Pulmonary hypertension,Raynaud's phenomenon,Ureteral calculi,Angina",https://www.uptodate.com/contents/nifedipine-drug-information?search=adalat+cc&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
adderall xr,Dextroamphetamine and amphetamine,"ADHD,Narcolepsy,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/dextroamphetamine-and-amphetamine-drug-information?search=adderall+xr&source=search_result&selectedTitle=1%7E22&usage_type=default&display_rank=1
adrenaclick,Epinephrine,"Acute severe asthma unresponsive to inhaled beta-agonist,Asystole/pulseless arrest, pulseless VT/VF,Bradycardia,Hypersensitivity reaction,Hypotension/shock,Mydriasis during intraocular surgery, induction and maintenance,Hypersensitivity,Mydriasis during intraocular surgery",https://www.uptodate.com/contents/epinephrine-adrenaline-systemic-drug-information?search=adrenaclick&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
airduo respiclick,Fluticasone and salmeterol,"Asthma,COPD,Chronic obstructive pulmonary disease",https://www.uptodate.com/contents/fluticasone-and-salmeterol-drug-information?search=airduo+respiclick&source=search_result&selectedTitle=1%7E43&usage_type=default&display_rank=1
aldactazide,Hydrochlorothiazide and spironolactone,"Edema,Hypertension",https://www.uptodate.com/contents/hydrochlorothiazide-and-spironolactone-drug-information?search=aldactazide&source=search_result&selectedTitle=1%7E7&usage_type=default&display_rank=1
aldactone,Spironolactone,"Edema,Heart failure,Hypertension,Primary,Acne vulgaris,Ascites, due to cirrhosis,Hirsutism,Primary hyperaldosteronism",https://www.uptodate.com/contents/spironolactone-drug-information?search=aldactone&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
allegra,Fexofenadine,"Upper respiratory allergies,Chronic idiopathic urticaria",https://www.uptodate.com/contents/fexofenadine-drug-information?search=allegra&source=search_result&selectedTitle=1%7E53&usage_type=default&display_rank=1
allegra-d 12 hour,Fexofenadine and pseudoephedrine,Seasonal allergic rhinitis,https://www.uptodate.com/contents/fexofenadine-and-pseudoephedrine-drug-information?search=allegra-d+12+hour&source=search_result&selectedTitle=1%7E2&usage_type=default&display_rank=1
amaryl,Glimepiride,"Diabetes mellitus, type 2",https://www.uptodate.com/contents/glimepiride-drug-information?search=amaryl&source=search_result&selectedTitle=1%7E27&usage_type=default&display_rank=1
ambien,Zolpidem,Insomnia,https://www.uptodate.com/contents/zolpidem-drug-information?search=ambien&source=search_result&selectedTitle=1%7E45&usage_type=default&display_rank=1
ambien cr,Zolpidem,Insomnia,https://www.uptodate.com/contents/zolpidem-drug-information?search=ambien+cr&source=search_result&selectedTitle=1%7E45&usage_type=default&display_rank=1
amicar,Aminocaproic acid,"Acute bleeding,Control of bleeding with severe thrombocytopenia,Control of oral bleeding in congenital and acquired coagulation disorder,Control of refractory bleeding associated with extracorporeal membrane oxygenation,Intracranial hemorrhage associated with thrombolytics,Prevention of dental procedure bleeding in patients on oral anticoagulant therapy,Prevention of perioperative bleeding associated with cardiac surgery,Subarachnoid hemorrhage,Traumatic hyphema",https://www.uptodate.com/contents/aminocaproic-acid-drug-information?search=amicar&source=search_result&selectedTitle=1%7E64&usage_type=default&display_rank=1
ammonul,Sodium phenylacetate and sodium benzoate,"Hyperammonemia, acute,Hyperammonemia",https://www.uptodate.com/contents/sodium-phenylacetate-and-sodium-benzoate-drug-information?search=ammonul&source=search_result&selectedTitle=1%7E8&usage_type=default&display_rank=1
amoxil,Amoxicillin,"Usual dosage range,Indication-specific dosing,Anthrax, inhalational postexposure prophylaxis,Ear, nose, throat, genitourinary tract, or skin/skin structure infections,Endocarditis, prophylaxis,Erysipeloid,Helicobacter pylori,Lower respiratory tract infections,Lyme disease,Lyme neuroborreliosis,Periodontitis,Pharyngitis, group A streptococci,Prophylaxis in total joint replacement patients undergoing dental procedures which produce bacteremia,Prosthetic joint infection, chronic antimicrobial suppression of prosthetic joint infection associated with beta-hemolytic streptococci, penicillin-susceptible,Ear, nose, and throat infections,Genitourinary tract infections,,Pharyngitis and tonsillitis,Skin and skin structure infections",https://www.uptodate.com/contents/amoxicillin-drug-information?search=amoxil&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
anafranil,Clomipramine,"Obsessive-compulsive disorder,Major depressive disorder,Panic disorder,Discontinuation of therapy,MAO inhibitor recommendations",https://www.uptodate.com/contents/clomipramine-drug-information?search=anafranil&source=search_result&selectedTitle=1%7E54&usage_type=default&display_rank=1
angiomax,Bivalirudin,"Cardiac surgery in patients with acute or subacute heparin-induced thrombocytopenia, urgent surgery required,Heparin-induced thrombocytopenia,Ischemic heart disease,Percutaneous coronary intervention,Percutaneous transluminal coronary angioplasty",https://www.uptodate.com/contents/bivalirudin-drug-information?search=angiomax&source=search_result&selectedTitle=1%7E40&usage_type=default&display_rank=1
antara,Fenofibrate,"Hypertriglyceridemia,Hypercholesterolemia or mixed hyperlipidemia,Hypercholesterolemia or mixed dyslipidemia",https://www.uptodate.com/contents/fenofibrate-drug-information?search=antara&source=search_result&selectedTitle=1%7E42&usage_type=default&display_rank=1
arava,Leflunomide,"Rheumatoid arthritis,CMV disease, resistant to standard antivirals",https://www.uptodate.com/contents/leflunomide-drug-information?search=arava&source=search_result&selectedTitle=1%7E83&usage_type=default&display_rank=1
